volume,file_name,type_guess,name_guess,school_guess,score_guess,notes
vol2,001.webp,unreviewed_case,,,,requires manual/next-pass classification
vol2,0010.webp,unreviewed_case,,,,requires manual/next-pass classification
vol2,00100.webp,unreviewed_case,,,,requires manual/next-pass classification
vol2,00101.webp,unreviewed_case,,,,requires manual/next-pass classification
vol2,00102.webp,unreviewed_case,,,,requires manual/next-pass classification
vol2,00103.webp,unreviewed_case,,,,requires manual/next-pass classification
vol2,00104.webp,unreviewed_case,,,,requires manual/next-pass classification
vol2,00105.webp,unreviewed_case,,,,requires manual/next-pass classification
vol2,00106.webp,unreviewed_case,,,,requires manual/next-pass classification
vol2,00107.webp,unreviewed_case,,,,requires manual/next-pass classification
vol2,00108.webp,unreviewed_case,,,,requires manual/next-pass classification
vol2,00109.webp,unreviewed_case,,,,requires manual/next-pass classification
vol2,0011.webp,unreviewed_case,,,,requires manual/next-pass classification
vol2,00110.webp,unreviewed_case,,,,requires manual/next-pass classification
vol2,00111.webp,unreviewed_case,,,,requires manual/next-pass classification
vol2,00112.webp,unreviewed_case,,,,requires manual/next-pass classification
vol2,00113.webp,unreviewed_case,,,,requires manual/next-pass classification
vol2,00114.webp,unreviewed_case,,,,requires manual/next-pass classification
vol2,00115.webp,unreviewed_case,,,,requires manual/next-pass classification
vol2,00116.webp,unreviewed_case,,,,requires manual/next-pass classification
vol2,00117.webp,unreviewed_case,,,,requires manual/next-pass classification
vol2,00118.webp,unreviewed_case,,,,requires manual/next-pass classification
vol2,00119.webp,unreviewed_case,,,,requires manual/next-pass classification
vol2,0012.webp,unreviewed_case,,,,requires manual/next-pass classification
vol2,00120.webp,unreviewed_case,,,,requires manual/next-pass classification
vol2,00121.webp,unreviewed_case,,,,requires manual/next-pass classification
vol2,00122.webp,unreviewed_case,,,,requires manual/next-pass classification
vol2,00123.webp,unreviewed_case,,,,requires manual/next-pass classification
vol2,00124.webp,unreviewed_case,,,,requires manual/next-pass classification
vol2,00125.webp,unreviewed_case,,,,requires manual/next-pass classification
vol2,00126.webp,unreviewed_case,,,,requires manual/next-pass classification
vol2,00127.webp,unreviewed_case,,,,requires manual/next-pass classification
